144577.797,170570.188,750000.062,750000.062,-153332.531,250514.250,196985.219,108723.180,0.089,0.921,0.390,27.100,5.585,-5.981,86.667,36.000,1.000
144594.688,170063.875,750000.062,750000.062,-144749.812,247225.859,195163.547,110874.047,0.088,0.917,0.391,26.031,5.188,-6.104,86.667,37.000,1.000
144632.328,169651.984,750000.062,750000.062,-136584.094,244216.062,193618.859,112988.609,0.089,0.917,0.386,24.994,4.852,-6.348,86.667,38.000,1.000
145657.297,169580.094,750000.062,750000.062,-128030.086,241499.797,192754.391,115558.164,0.091,0.916,0.377,23.834,4.608,-6.561,86.667,39.000,1.000
147070.281,169573.750,750000.062,750000.062,-119512.188,238920.578,192067.656,118149.359,0.099,0.913,0.380,22.858,4.486,-6.744,86.667,40.000,1.000
147708.016,169203.875,750000.062,750000.062,-111975.719,236311.688,190874.875,120068.125,0.104,0.909,0.380,22.003,4.303,-6.775,86.667,41.000,1.000
147446.516,168554.516,750000.062,750000.062,-105527.422,233758.219,189275.562,121360.859,0.107,0.905,0.379,20.966,4.303,-6.744,86.667,42.000,1.000
147220.938,168004.219,750000.062,750000.062,-99350.469,231435.781,187937.234,122667.453,0.108,0.901,0.384,20.142,4.364,-6.714,86.667,43.000,1.000
147956.312,167794.734,750000.062,750000.062,-92667.922,229370.750,187248.078,124471.773,0.108,0.901,0.387,19.409,4.547,-6.775,86.667,44.000,1.000
149119.938,167692.266,750000.062,750000.062,-85887.211,227412.109,186743.734,126381.508,0.105,0.904,0.382,18.646,4.578,-6.958,86.667,45.000,1.000
149578.688,167292.172,750000.062,750000.062,-79926.352,225410.016,185777.969,127730.656,0.106,0.904,0.378,17.761,4.730,-7.080,86.667,46.000,1.000
149166.078,166628.953,750000.062,750000.062,-74951.750,223421.156,184396.797,128500.453,0.113,0.900,0.379,16.876,5.005,-7.263,86.667,47.000,1.000
148780.641,166045.125,750000.062,750000.062,-70188.594,221579.641,183220.484,129300.289,0.121,0.894,0.381,16.235,5.280,-7.385,86.667,48.000,1.000
149329.062,165782.531,750000.062,750000.062,-64860.562,219952.703,182665.891,130628.609,0.123,0.889,0.383,15.625,5.585,-7.050,86.667,49.000,1.000
150346.156,165694.922,750000.062,750000.062,-59328.863,218461.766,182331.594,132133.859,0.122,0.881,0.383,15.015,5.798,-6.805,86.667,50.000,1.000
150696.453,165348.203,750000.062,750000.062,-54518.945,216907.500,181552.141,133129.234,0.121,0.882,0.382,14.709,6.134,-6.561,86.667,51.000,1.000
150149.109,164704.562,750000.062,750000.062,-50626.613,215282.172,180329.688,133557.844,0.119,0.882,0.384,14.343,6.287,-6.500,86.667,52.000,1.000
149653.609,164176.156,750000.062,750000.062,-46895.125,213802.672,179306.688,134052.531,0.116,0.882,0.384,13.885,6.531,-6.378,86.667,53.000,1.000
150104.750,164021.844,750000.062,750000.062,-42573.281,212551.516,178903.906,135099.406,0.111,0.883,0.387,13.489,6.622,-6.409,86.667,54.000,1.000
150972.266,163978.750,750000.062,750000.062,-38041.242,211362.047,178678.781,136309.609,0.108,0.879,0.387,13.092,6.805,-6.561,86.667,55.000,1.000
151230.219,163699.531,750000.062,750000.062,-34157.578,210103.641,178024.766,137060.094,0.103,0.873,0.385,12.665,6.836,-6.592,86.667,56.000,1.000
150704.953,163203.688,750000.062,750000.062,-31081.176,208835.312,176996.953,137342.891,0.098,0.868,0.384,12.115,6.714,-6.622,86.667,57.000,1.000
150175.828,162774.984,750000.062,750000.062,-28163.379,207661.484,176122.281,137655.812,0.090,0.862,0.385,11.902,6.561,-6.775,86.667,58.000,1.000
150576.375,162733.938,750000.062,750000.062,-24604.891,206705.094,175861.484,138523.875,0.087,0.860,0.391,11.688,6.317,-6.866,86.667,59.000,1.000
151403.656,162786.875,749076.812,750000.062,-20807.775,205791.984,175760.359,139555.719,0.084,0.861,0.397,11.475,5.920,-7.141,86.667,60.000,1.000
151626.547,162549.312,744062.500,750000.062,-17606.381,204778.375,175230.359,140145.625,0.081,0.867,0.396,11.261,5.524,-7.477,86.667,61.000,1.000
151086.531,162113.719,739133.000,750000.062,-15142.950,203768.891,174339.953,140294.578,0.077,0.877,0.399,10.925,5.127,-7.721,86.667,62.000,1.000
150523.891,161704.859,734425.062,750000.062,-12819.173,202806.594,173563.266,140463.109,0.078,0.890,0.404,10.437,4.395,-7.965,86.667,63.000,1.000
150881.703,161648.812,730171.438,750000.062,-9824.396,202057.812,173377.844,141181.047,0.076,0.900,0.403,9.735,3.937,-8.209,86.667,64.000,1.000
151677.516,161695.828,726122.312,750000.062,-6533.147,201337.188,173349.672,142080.125,0.074,0.907,0.404,8.820,3.326,-8.453,86.667,65.000,1.000
