EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-18.001,-14.910,-18.630,-15.996,-9.168,-16.964,-4.959,4.241,-0.027,0.957,-0.334,-0.427,-0.671,-0.702,93.333,38159.000,1.000
-21.390,-13.282,-17.597,-15.900,-6.925,-14.564,-2.665,5.525,-0.027,0.953,-0.334,-0.366,-0.641,-0.641,93.333,38160.000,1.000
-22.922,-12.265,-16.556,-15.339,-5.155,-12.566,-0.653,7.582,-0.028,0.949,-0.337,-0.305,-0.671,-0.549,93.333,38161.000,1.000
-22.987,-12.725,-16.757,-15.918,-5.090,-12.776,-0.056,9.016,-0.029,0.949,-0.335,-0.153,-0.671,-0.610,93.333,38162.000,1.000
-22.364,-13.926,-17.924,-17.082,-6.363,-13.647,-0.220,9.453,-0.029,0.950,-0.340,0.000,-0.641,-0.671,93.333,38163.000,1.000
-23.270,-16.591,-20.685,-19.054,-9.458,-15.079,-1.927,8.285,-0.031,0.953,-0.340,0.183,-0.671,-0.732,93.333,38164.000,1.000
-25.158,-19.646,-23.781,-20.792,-12.602,-17.514,-4.755,6.514,-0.030,0.958,-0.340,0.427,-0.549,-0.671,93.333,38165.000,1.000
-23.863,-18.886,-23.109,-19.020,-11.495,-18.193,-5.049,7.687,-0.028,0.963,-0.340,0.641,-0.580,-0.641,93.333,38166.000,1.000
-18.546,-13.815,-17.924,-13.782,-6.255,-15.278,-1.605,12.583,-0.030,0.965,-0.335,0.458,-0.641,-0.732,93.333,38167.000,1.000
-12.982,-8.987,-12.241,-8.945,-1.670,-11.451,2.064,17.041,-0.030,0.963,-0.336,0.244,-0.763,-0.793,93.333,38168.000,1.000
-8.468,-5.701,-7.843,-5.685,1.055,-8.748,4.177,18.798,-0.031,0.960,-0.333,0.000,-0.732,-0.854,93.333,38169.000,1.000
-3.380,-1.465,-3.344,-3.034,4.145,-6.252,6.129,19.577,-0.036,0.958,-0.332,0.000,-0.763,-1.099,93.333,38170.000,1.000
0.436,1.630,-0.548,-3.110,5.735,-4.752,6.606,18.611,-0.038,0.960,-0.333,-0.061,-0.854,-1.312,93.333,38171.000,1.000
0.742,-0.654,-2.340,-7.079,2.644,-6.117,3.209,13.839,-0.041,0.960,-0.331,0.000,-0.946,-1.617,93.333,38172.000,1.000
-0.452,-6.674,-6.832,-11.500,-3.384,-9.867,-2.577,7.396,-0.041,0.965,-0.338,-0.092,-1.129,-1.953,93.333,38173.000,1.000
-1.463,-11.955,-10.673,-14.268,-9.185,-14.827,-8.110,2.202,-0.038,0.968,-0.335,-0.244,-1.221,-2.258,93.333,38174.000,1.000
-3.142,-15.032,-13.525,-16.778,-13.867,-19.855,-12.291,-1.552,-0.036,0.973,-0.334,-0.397,-1.495,-2.441,93.333,38175.000,1.000
-6.027,-16.541,-16.221,-19.500,-16.925,-22.858,-14.190,-3.544,-0.032,0.974,-0.332,-0.671,-1.678,-2.472,93.333,38176.000,1.000
-9.682,-17.000,-18.545,-21.474,-17.931,-23.058,-13.736,-3.107,-0.030,0.973,-0.332,-1.038,-1.709,-2.441,93.333,38177.000,1.000
-13.648,-16.914,-20.171,-22.944,-17.907,-22.366,-12.834,-1.834,-0.031,0.969,-0.333,-1.373,-1.831,-2.411,93.333,38178.000,1.000
-16.908,-17.132,-21.709,-24.982,-18.462,-22.798,-13.256,-2.116,-0.029,0.968,-0.337,-1.495,-1.770,-2.258,93.333,38179.000,1.000
-18.351,-17.924,-23.413,-26.972,-19.610,-24.092,-14.356,-3.774,-0.031,0.968,-0.337,-1.617,-1.678,-2.258,93.333,38180.000,1.000
-18.217,-17.941,-23.688,-26.403,-19.092,-23.846,-13.665,-3.946,-0.031,0.967,-0.337,-1.678,-1.526,-2.167,93.333,38181.000,1.000
-17.738,-16.224,-21.588,-22.925,-15.845,-20.923,-10.526,-1.346,-0.031,0.965,-0.336,-1.862,-1.617,-1.953,93.333,38182.000,1.000
-18.980,-14.618,-19.665,-20.447,-12.864,-18.116,-7.871,0.944,-0.035,0.962,-0.335,-1.923,-1.740,-1.892,93.333,38183.000,1.000
-22.053,-14.282,-19.664,-20.984,-11.944,-17.361,-7.087,0.917,-0.037,0.960,-0.335,-1.953,-1.587,-1.770,93.333,38184.000,1.000
-22.990,-13.068,-19.175,-21.055,-10.313,-16.387,-5.736,1.385,-0.034,0.959,-0.335,-1.953,-1.587,-1.556,93.333,38185.000,1.000
-20.177,-10.174,-16.768,-18.637,-6.936,-14.431,-3.888,3.327,-0.033,0.959,-0.334,-2.136,-1.678,-1.282,93.333,38186.000,1.000
-17.632,-7.947,-14.365,-16.321,-4.676,-14.123,-4.388,3.671,-0.035,0.957,-0.331,-2.197,-1.678,-1.007,93.333,38187.000,1.000
-18.192,-7.919,-13.671,-15.967,-4.983,-16.131,-6.654,2.022,-0.035,0.954,-0.327,-2.197,-1.617,-0.916,93.333,38188.000,1.000
-19.091,-8.878,-14.072,-16.100,-5.887,-17.591,-7.436,1.779,-0.036,0.955,-0.327,-2.045,-1.526,-0.793,93.333,38189.000,1.000
-18.018,-9.294,-14.019,-15.037,-5.479,-16.516,-5.880,4.011,-0.035,0.954,-0.335,-2.014,-1.495,-0.610,93.333,38190.000,1.000
-18.416,-10.502,-14.316,-14.488,-5.565,-15.470,-4.676,5.018,-0.035,0.954,-0.333,-2.045,-1.465,-0.305,93.333,38191.000,1.000
-21.861,-14.098,-16.813,-16.679,-8.356,-17.401,-5.711,2.459,-0.036,0.953,-0.330,-1.953,-1.495,-0.092,93.333,38192.000,1.000
-23.624,-17.612,-19.740,-19.379,-11.518,-20.249,-7.040,-0.439,-0.035,0.954,-0.329,-1.770,-1.465,0.000,93.333,38193.000,1.000
-20.691,-17.774,-19.559,-19.136,-12.131,-20.963,-7.034,-0.792,-0.033,0.956,-0.333,-1.617,-1.373,0.000,93.333,38194.000,1.000
-15.566,-15.578,-16.648,-16.648,-11.589,-20.631,-7.289,-0.571,-0.032,0.957,-0.333,-1.495,-1.373,0.061,93.333,38195.000,1.000
-12.486,-14.679,-14.902,-15.299,-12.650,-21.811,-9.315,-2.549,-0.032,0.957,-0.330,-1.312,-1.312,0.122,93.333,38196.000,1.000
-12.253,-15.919,-15.710,-16.317,-15.146,-24.080,-12.003,-6.066,-0.029,0.956,-0.331,-1.221,-1.312,0.153,93.333,38197.000,1.000
-11.034,-16.045,-16.146,-17.228,-16.369,-24.548,-13.020,-7.878,-0.030,0.960,-0.331,-1.221,-1.251,0.183,93.333,38198.000,1.000
-7.612,-13.759,-14.850,-16.018,-15.121,-22.633,-11.928,-6.469,-0.028,0.962,-0.331,-1.251,-1.190,0.214,93.333,38199.000,1.000
-7.400,-13.146,-15.344,-15.184,-14.176,-21.536,-11.210,-4.827,-0.029,0.959,-0.331,-1.312,-1.099,0.153,93.333,38200.000,1.000
-13.716,-16.354,-19.685,-17.582,-15.759,-22.718,-12.370,-5.965,-0.030,0.959,-0.330,-1.251,-0.946,0.153,93.333,38201.000,1.000
-20.252,-17.995,-23.071,-19.973,-16.259,-22.565,-12.517,-6.783,-0.028,0.958,-0.332,-1.129,-0.854,0.092,93.333,38202.000,1.000
-20.277,-13.680,-21.047,-17.780,-11.746,-18.316,-8.999,-2.908,-0.027,0.961,-0.329,-1.251,-0.702,0.061,93.333,38203.000,1.000
-17.744,-8.192,-17.499,-13.850,-5.861,-13.241,-4.648,2.791,-0.027,0.960,-0.330,-1.160,-0.580,-0.061,93.333,38204.000,1.000
-18.702,-7.695,-18.120,-13.839,-4.243,-11.291,-2.894,5.014,-0.027,0.962,-0.332,-1.099,-0.488,-0.153,93.333,38205.000,1.000
-20.533,-10.326,-21.480,-16.550,-5.695,-11.166,-2.155,4.911,-0.027,0.964,-0.329,-0.885,-0.336,-0.305,93.333,38206.000,1.000
-18.699,-10.648,-22.594,-16.624,-5.720,-9.996,0.236,6.774,-0.027,0.966,-0.328,-0.916,-0.244,-0.336,93.333,38207.000,1.000
-14.703,-8.281,-20.954,-13.677,-4.184,-8.560,2.901,10.004,-0.026,0.968,-0.326,-1.099,-0.092,-0.458,93.333,38208.000,1.000
-12.150,-7.455,-20.245,-12.403,-4.533,-9.242,2.569,10.095,-0.026,0.969,-0.331,-1.343,-0.031,-0.549,93.333,38209.000,1.000
-11.107,-9.984,-21.860,-14.530,-7.868,-11.782,-0.866,6.213,-0.026,0.970,-0.333,-1.495,0.031,-0.580,93.333,38210.000,1.000
-9.826,-13.207,-23.445,-16.864,-11.930,-14.330,-4.570,2.032,-0.026,0.970,-0.328,-1.740,0.092,-0.488,93.333,38211.000,1.000
-8.733,-15.150,-23.679,-17.497,-15.230,-16.725,-7.404,-0.959,-0.028,0.968,-0.327,-1.953,0.305,-0.580,93.333,38212.000,1.000
-9.794,-17.372,-24.465,-18.275,-18.667,-20.302,-10.961,-4.958,-0.029,0.965,-0.331,-2.014,0.366,-0.671,93.333,38213.000,1.000
-12.002,-20.711,-26.864,-20.230,-22.456,-24.954,-15.125,-10.092,-0.031,0.965,-0.333,-1.984,0.397,-0.793,93.333,38214.000,1.000
-10.162,-21.857,-27.535,-20.407,-23.750,-27.492,-16.184,-12.238,-0.031,0.966,-0.330,-1.923,0.458,-0.824,93.333,38215.000,1.000
-2.932,-18.677,-23.758,-16.561,-20.692,-25.682,-12.825,-9.378,-0.032,0.965,-0.329,-1.801,0.549,-0.916,93.333,38216.000,1.000
2.517,-15.064,-19.137,-12.335,-16.807,-22.616,-9.829,-6.080,-0.034,0.967,-0.330,-1.770,0.549,-1.007,93.333,38217.000,1.000
1.922,-13.845,-17.328,-11.268,-15.095,-21.134,-10.195,-6.046,-0.033,0.967,-0.327,-1.831,0.580,-1.099,93.333,38218.000,1.000
0.947,-11.424,-15.617,-10.374,-12.529,-18.494,-9.779,-5.618,-0.033,0.963,-0.324,-1.862,0.519,-1.038,93.333,38219.000,1.000
2.828,-6.075,-12.001,-7.247,-7.340,-13.388,-5.899,-1.529,-0.036,0.959,-0.324,-1.923,0.336,-1.038,93.333,38220.000,1.000
2.721,-2.067,-9.992,-5.617,-3.601,-9.855,-2.640,2.428,-0.035,0.956,-0.326,-1.953,0.397,-1.068,93.333,38221.000,1.000
-0.730,-1.767,-11.346,-7.961,-3.745,-9.900,-2.953,2.443,-0.035,0.953,-0.330,-1.770,0.336,-0.946,93.333,38222.000,1.000
-3.054,-3.028,-13.123,-10.930,-4.937,-11.024,-4.169,1.052,-0.034,0.954,-0.328,-1.678,0.275,-0.885,93.333,38223.000,1.000
-2.924,-4.035,-13.305,-11.029,-4.544,-11.394,-3.734,2.213,-0.036,0.955,-0.329,-1.282,0.214,-0.977,93.333,38224.000,1.000
-2.866,-4.585,-13.081,-9.404,-3.414,-11.505,-2.894,5.255,-0.034,0.959,-0.333,-1.099,0.183,-0.977,93.333,38225.000,1.000
-5.218,-6.043,-15.144,-10.241,-4.485,-13.218,-4.339,5.901,-0.033,0.959,-0.333,-0.793,0.092,-0.885,93.333,38226.000,1.000
-10.518,-10.622,-20.911,-15.459,-9.569,-18.174,-8.933,1.680,-0.033,0.958,-0.333,-0.763,0.031,-0.732,93.333,38227.000,1.000
-16.275,-16.359,-26.882,-20.910,-15.455,-23.875,-13.642,-3.847,-0.032,0.959,-0.330,-0.824,0.031,-0.610,93.333,38228.000,1.000
-19.162,-18.261,-28.094,-21.694,-17.078,-25.869,-14.815,-5.530,-0.031,0.957,-0.329,-0.671,0.061,-0.488,93.333,38229.000,1.000
-18.549,-16.089,-25.300,-19.202,-14.828,-24.574,-13.478,-3.962,-0.036,0.958,-0.327,-0.427,-0.122,-0.519,93.333,38230.000,1.000
-15.420,-12.960,-21.680,-16.613,-12.000,-22.801,-12.176,-2.211,-0.039,0.956,-0.324,-0.275,-0.092,-0.458,93.333,38231.000,1.000
-10.833,-9.923,-17.620,-13.674,-9.188,-20.844,-10.710,-0.437,-0.041,0.954,-0.326,-0.244,-0.275,-0.549,93.333,38232.000,1.000
-7.677,-8.143,-14.355,-10.812,-6.818,-19.447,-9.531,1.433,-0.042,0.955,-0.330,-0.092,-0.427,-0.580,93.333,38233.000,1.000
-8.565,-9.923,-14.591,-10.178,-6.724,-20.717,-10.817,1.815,-0.041,0.956,-0.331,-0.061,-0.610,-0.610,93.333,38234.000,1.000
-10.634,-14.091,-16.979,-10.750,-8.185,-23.669,-13.653,0.692,-0.037,0.958,-0.329,-0.031,-0.732,-0.702,93.333,38235.000,1.000
-9.716,-15.958,-17.181,-9.624,-7.906,-24.570,-13.858,0.540,-0.036,0.959,-0.330,0.061,-0.824,-0.763,93.333,38236.000,1.000
-7.670,-14.233,-15.149,-7.963,-5.748,-22.742,-10.622,1.819,-0.036,0.962,-0.333,0.275,-0.977,-0.793,93.333,38237.000,1.000
-7.543,-12.623,-14.704,-8.934,-5.092,-20.898,-7.727,1.935,-0.035,0.963,-0.329,0.397,-1.099,-0.702,93.333,38238.000,1.000
-6.811,-12.374,-15.715,-11.189,-6.141,-19.405,-6.449,0.742,-0.033,0.965,-0.328,0.336,-1.068,-0.793,93.333,38239.000,1.000
