EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-4.801,1.628,2.282,0.854,-2.292,-2.055,1.756,-1.329,-0.029,0.971,-0.292,0.854,-0.671,-0.732,93.333,13200.000,1.000
-10.901,-3.144,-3.616,-3.641,-8.803,-9.605,-3.659,-6.537,-0.030,0.970,-0.286,0.946,-0.671,-0.610,93.333,13201.000,1.000
-16.008,-5.151,-6.498,-6.138,-13.436,-14.267,-9.722,-11.377,-0.031,0.970,-0.286,1.038,-0.702,-0.671,93.333,13202.000,1.000
-18.413,-5.265,-7.626,-8.016,-15.811,-16.411,-15.873,-16.707,-0.031,0.969,-0.287,0.977,-0.793,-0.671,93.333,13203.000,1.000
-17.045,-4.640,-7.771,-9.949,-15.726,-17.423,-19.776,-20.802,-0.030,0.969,-0.284,1.007,-0.732,-0.671,93.333,13204.000,1.000
-11.972,-2.509,-5.480,-9.619,-12.184,-15.921,-17.855,-19.474,-0.031,0.968,-0.285,1.038,-0.732,-0.732,93.333,13205.000,1.000
-6.591,1.671,-0.672,-5.275,-5.231,-10.543,-9.756,-11.853,-0.033,0.970,-0.290,1.160,-0.824,-0.793,93.333,13206.000,1.000
-4.589,6.660,4.078,1.186,2.980,-3.311,0.494,-2.145,-0.033,0.968,-0.289,1.221,-0.885,-0.916,93.333,13207.000,1.000
-6.988,8.899,4.808,4.607,7.688,-0.020,6.276,2.982,-0.033,0.968,-0.288,1.282,-1.038,-0.977,93.333,13208.000,1.000
-13.140,5.253,-0.344,1.718,5.141,-4.212,3.559,-0.010,-0.033,0.969,-0.289,1.556,-1.007,-1.221,93.333,13209.000,1.000
-21.739,-4.522,-10.113,-6.287,-3.979,-12.524,-5.230,-8.688,-0.033,0.970,-0.292,1.709,-1.007,-1.282,93.333,13210.000,1.000
-28.681,-14.446,-18.890,-13.360,-12.653,-16.050,-11.715,-15.397,-0.033,0.971,-0.292,1.740,-1.099,-1.343,93.333,13211.000,1.000
-26.330,-14.157,-17.968,-11.273,-11.111,-7.734,-7.771,-12.122,-0.033,0.969,-0.291,1.923,-1.160,-1.434,93.333,13212.000,1.000
-17.131,-5.440,-9.256,-2.551,-1.973,5.268,1.945,-2.735,-0.032,0.972,-0.289,1.923,-1.251,-1.648,93.333,13213.000,1.000
-15.558,-2.901,-6.468,-0.288,0.365,7.784,3.392,-0.685,-0.033,0.972,-0.286,1.953,-1.221,-1.556,93.333,13214.000,1.000
-21.043,-8.314,-11.631,-5.787,-5.825,0.373,-4.368,-6.937,-0.033,0.972,-0.288,1.953,-1.190,-1.648,93.333,13215.000,1.000
-20.797,-11.082,-14.412,-8.812,-10.003,-5.055,-10.571,-11.088,-0.034,0.972,-0.291,2.014,-1.251,-1.678,93.333,13216.000,1.000
-17.782,-11.360,-14.106,-8.394,-11.292,-7.506,-13.132,-11.640,-0.033,0.973,-0.290,2.106,-1.221,-1.740,93.333,13217.000,1.000
-19.182,-13.312,-14.519,-7.872,-13.002,-9.853,-14.013,-11.340,-0.035,0.973,-0.290,2.106,-1.221,-1.740,93.333,13218.000,1.000
-18.066,-11.519,-11.876,-4.050,-10.520,-6.966,-9.608,-7.007,-0.034,0.972,-0.289,2.106,-1.282,-1.953,93.333,13219.000,1.000
-10.331,-4.094,-5.821,2.283,-2.828,1.271,-1.330,0.370,-0.033,0.972,-0.290,2.197,-1.251,-1.953,93.333,13220.000,1.000
-5.970,0.032,-3.840,3.389,1.816,5.037,2.252,2.627,-0.032,0.971,-0.291,2.167,-1.312,-2.014,93.333,13221.000,1.000
-8.893,-2.928,-7.116,-1.236,0.452,2.035,0.318,-1.449,-0.032,0.971,-0.292,2.228,-1.373,-2.014,93.333,13222.000,1.000
-7.203,-3.184,-5.558,-1.398,1.838,3.385,2.521,-1.977,-0.032,0.972,-0.291,2.167,-1.312,-2.075,93.333,13223.000,1.000
3.676,5.651,5.286,6.807,10.444,14.171,11.502,5.106,-0.032,0.976,-0.291,2.106,-1.343,-2.075,93.333,13224.000,1.000
10.833,13.456,13.573,11.994,15.994,22.644,15.822,8.751,-0.033,0.974,-0.290,2.075,-1.312,-1.984,93.333,13225.000,1.000
7.065,11.266,10.186,6.958,11.096,20.107,9.436,1.741,-0.033,0.974,-0.288,1.984,-1.190,-1.984,93.333,13226.000,1.000
3.039,6.892,3.810,1.758,4.785,15.474,2.569,-6.361,-0.032,0.976,-0.285,2.014,-1.068,-1.984,93.333,13227.000,1.000
6.233,7.684,2.908,3.355,4.557,16.964,2.187,-7.982,-0.032,0.974,-0.290,1.984,-1.160,-1.892,93.333,13228.000,1.000
9.721,7.749,2.273,3.710,3.986,18.851,1.374,-9.313,-0.033,0.977,-0.292,1.923,-1.160,-1.801,93.333,13229.000,1.000
10.165,3.432,-1.470,-1.426,-1.224,16.293,-3.568,-14.173,-0.032,0.980,-0.295,1.892,-1.160,-1.740,93.333,13230.000,1.000
12.280,0.351,-2.251,-5.276,-5.566,13.030,-7.227,-17.104,-0.033,0.976,-0.292,1.770,-1.129,-1.587,93.333,13231.000,1.000
16.530,1.045,2.047,-4.554,-6.064,11.140,-7.906,-15.489,-0.034,0.974,-0.293,1.648,-1.068,-1.495,93.333,13232.000,1.000
17.881,1.076,5.388,-3.688,-6.429,8.127,-9.236,-13.161,-0.034,0.973,-0.293,1.556,-0.977,-1.404,93.333,13233.000,1.000
13.446,-1.847,4.795,-5.378,-8.459,3.703,-11.565,-12.516,-0.033,0.973,-0.292,1.526,-0.946,-1.434,93.333,13234.000,1.000
9.454,-3.621,4.928,-6.433,-8.987,0.628,-11.599,-11.629,-0.033,0.973,-0.291,1.404,-0.916,-1.373,93.333,13235.000,1.000
13.980,-0.793,9.340,-3.615,-6.247,-0.643,-8.665,-8.871,-0.034,0.971,-0.295,1.465,-0.885,-1.343,93.333,13236.000,1.000
23.923,4.426,15.454,1.932,-2.292,-1.584,-5.110,-4.726,-0.034,0.972,-0.294,1.495,-0.732,-1.190,93.333,13237.000,1.000
