EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
59.477,71.268,46.942,45.481,36.464,26.018,38.506,38.127,-0.034,0.957,-0.260,5.280,-5.737,-1.801,86.667,120521.000,1.000
62.923,68.662,49.154,44.458,37.189,25.004,41.300,39.486,-0.027,0.959,-0.259,5.768,-5.890,-2.106,86.667,120522.000,1.000
55.327,63.041,41.306,39.845,31.053,19.954,33.633,33.385,-0.023,0.964,-0.258,6.256,-5.859,-2.319,86.667,120523.000,1.000
46.776,57.626,33.791,35.019,23.623,14.128,22.916,24.936,-0.018,0.970,-0.258,6.561,-5.768,-2.319,86.667,120524.000,1.000
37.376,47.595,26.078,25.926,13.434,4.370,9.581,12.904,-0.018,0.977,-0.256,6.836,-5.615,-2.319,86.667,120525.000,1.000
29.056,37.253,18.817,16.919,4.176,-4.453,-2.560,1.606,-0.017,0.986,-0.256,6.775,-5.402,-2.106,86.667,120526.000,1.000
27.899,36.185,17.900,16.788,3.364,-3.687,-4.819,0.139,-0.016,0.987,-0.254,6.409,-5.188,-1.770,86.667,120527.000,1.000
31.571,41.191,22.103,22.103,8.728,2.929,3.548,8.100,-0.019,0.985,-0.255,6.073,-5.005,-1.373,86.667,120528.000,1.000
29.574,39.830,22.092,20.950,9.343,2.673,10.334,13.282,-0.020,0.985,-0.253,5.737,-4.669,-1.099,86.667,120529.000,1.000
19.610,30.242,14.296,11.546,1.138,-7.016,3.482,6.805,-0.021,0.983,-0.254,5.524,-4.578,-0.702,86.667,120530.000,1.000
13.020,24.416,7.488,5.337,-6.574,-13.840,-11.202,-4.640,-0.025,0.979,-0.252,5.371,-4.547,-0.244,86.667,120531.000,1.000
18.380,29.440,10.625,9.700,-4.527,-9.415,-16.544,-8.192,-0.028,0.980,-0.249,5.188,-4.486,0.183,86.667,120532.000,1.000
27.950,35.780,18.294,16.056,1.466,-2.985,-11.763,-5.080,-0.030,0.979,-0.246,5.096,-4.456,0.671,86.667,120533.000,1.000
26.360,30.077,16.290,10.942,-2.116,-7.890,-13.287,-8.846,-0.034,0.981,-0.246,5.157,-4.425,0.824,86.667,120534.000,1.000
10.788,13.766,0.733,-4.430,-16.090,-22.003,-24.615,-21.043,-0.038,0.985,-0.249,5.157,-4.395,0.854,86.667,120535.000,1.000
-2.689,3.383,-13.482,-12.976,-24.842,-29.401,-29.246,-25.478,-0.039,0.990,-0.249,5.219,-4.517,1.129,86.667,120536.000,1.000
1.715,9.920,-9.881,-4.594,-17.703,-21.174,-19.191,-14.640,-0.043,0.998,-0.243,5.127,-4.669,1.434,86.667,120537.000,1.000
18.046,22.849,5.812,8.159,-5.593,-8.740,-9.270,-4.422,-0.043,1.002,-0.241,4.852,-4.944,1.831,86.667,120538.000,1.000
29.429,27.448,15.470,10.679,-2.449,-5.713,-10.544,-7.032,-0.042,1.006,-0.239,4.425,-5.188,2.258,86.667,120539.000,1.000
31.806,26.201,13.850,7.487,-4.875,-8.596,-13.932,-11.921,-0.041,1.009,-0.234,3.845,-5.493,2.655,86.667,120540.000,1.000
