EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-6.135,6.442,0.210,-4.341,1.710,2.288,-4.718,-0.787,-0.052,0.936,-0.382,0.336,-0.122,-0.214,93.333,25225.000,1.000
-7.633,2.978,-3.085,-7.272,-2.158,-2.396,-9.249,-4.239,-0.053,0.938,-0.383,0.641,0.031,-0.336,93.333,25226.000,1.000
-7.167,3.293,-3.587,-6.881,-1.998,-1.594,-9.001,-3.348,-0.054,0.939,-0.383,0.824,0.061,-0.397,93.333,25227.000,1.000
-7.506,4.314,-3.278,-5.561,-0.459,1.612,-6.699,-1.459,-0.055,0.941,-0.380,0.946,0.092,-0.458,93.333,25228.000,1.000
-9.041,5.065,-2.061,-4.087,1.383,4.637,-3.672,0.975,-0.057,0.942,-0.378,0.854,0.153,-0.702,93.333,25229.000,1.000
-8.433,6.443,0.679,-2.158,4.361,7.619,0.129,4.823,-0.061,0.942,-0.375,0.763,0.092,-0.916,93.333,25230.000,1.000
-5.336,7.607,2.973,-1.031,6.915,9.377,2.727,7.378,-0.065,0.943,-0.375,0.793,0.092,-1.038,93.333,25231.000,1.000
-2.500,7.517,3.389,-1.060,7.010,8.425,2.663,6.596,-0.066,0.944,-0.373,0.671,0.031,-1.373,93.333,25232.000,1.000
0.946,8.937,5.163,0.942,7.455,8.126,3.284,6.393,-0.069,0.945,-0.374,0.549,-0.092,-1.648,93.333,25233.000,1.000
5.744,12.994,9.410,4.974,10.144,10.358,5.974,8.289,-0.069,0.949,-0.375,0.488,-0.305,-1.984,93.333,25234.000,1.000
7.133,13.911,10.109,4.638,10.089,9.151,5.138,6.519,-0.070,0.948,-0.375,0.336,-0.458,-2.319,93.333,25235.000,1.000
2.121,9.310,5.225,-1.523,5.312,2.096,-0.654,0.370,-0.069,0.950,-0.379,0.183,-0.763,-2.533,93.333,25236.000,1.000
-3.427,5.691,1.721,-6.439,1.968,-3.740,-4.604,-2.834,-0.064,0.951,-0.379,-0.031,-0.854,-2.655,93.333,25237.000,1.000
-3.783,6.571,3.603,-6.123,3.306,-4.122,-3.969,-0.943,-0.062,0.952,-0.378,-0.183,-0.946,-2.655,93.333,25238.000,1.000
0.461,9.127,8.202,-2.327,6.676,-1.275,-1.569,2.591,-0.060,0.951,-0.378,-0.397,-1.129,-2.686,93.333,25239.000,1.000
7.321,12.699,13.828,3.831,10.812,3.614,2.469,7.591,-0.059,0.951,-0.378,-0.366,-1.038,-2.594,93.333,25240.000,1.000
13.401,17.701,19.453,10.572,14.913,9.257,7.856,13.587,-0.060,0.948,-0.379,-0.427,-0.977,-2.411,93.333,25241.000,1.000
16.446,21.363,22.214,14.458,16.726,12.453,11.256,16.818,-0.061,0.945,-0.379,-0.458,-1.068,-2.289,93.333,25242.000,1.000
17.163,21.348,21.000,14.303,15.977,12.359,11.289,16.010,-0.063,0.945,-0.380,-0.549,-1.007,-2.045,93.333,25243.000,1.000
13.595,17.300,16.121,9.703,12.478,8.767,7.630,11.492,-0.067,0.944,-0.379,-0.580,-1.099,-1.831,93.333,25244.000,1.000
4.681,10.409,8.616,1.366,5.766,1.214,0.329,3.742,-0.066,0.943,-0.378,-0.610,-1.129,-1.617,93.333,25245.000,1.000
-3.441,5.056,3.181,-4.534,0.339,-5.498,-5.420,-1.955,-0.065,0.940,-0.377,-0.641,-1.160,-1.495,93.333,25246.000,1.000
-5.774,2.764,1.769,-4.546,-0.664,-7.314,-5.932,-1.965,-0.068,0.940,-0.376,-0.641,-1.282,-1.221,93.333,25247.000,1.000
-6.706,-1.147,-1.003,-4.779,-2.178,-8.552,-6.154,-1.564,-0.069,0.942,-0.380,-0.427,-1.282,-1.038,93.333,25248.000,1.000
-7.719,-4.326,-3.957,-5.761,-3.668,-9.005,-6.365,-1.503,-0.070,0.944,-0.378,-0.397,-1.404,-0.793,93.333,25249.000,1.000
-4.214,0.265,0.288,-0.481,1.648,-2.558,-0.599,3.851,-0.066,0.943,-0.376,-0.458,-1.556,-0.641,93.333,25250.000,1.000
-1.954,5.450,5.900,5.642,7.638,4.024,4.892,8.227,-0.067,0.945,-0.375,-0.549,-1.648,-0.397,93.333,25251.000,1.000
-6.002,3.484,4.774,4.312,6.067,2.017,2.182,4.122,-0.067,0.944,-0.376,-0.580,-1.801,-0.153,93.333,25252.000,1.000
-6.856,3.651,4.442,3.263,4.786,-0.466,-0.418,0.580,-0.065,0.942,-0.375,-0.702,-1.740,0.153,93.333,25253.000,1.000
-1.825,10.204,9.158,7.753,8.811,2.349,2.118,3.216,-0.062,0.940,-0.375,-0.702,-1.740,0.336,93.333,25254.000,1.000
-1.496,12.579,9.921,8.622,9.909,2.729,1.383,3.496,-0.059,0.940,-0.378,-0.702,-1.526,0.488,93.333,25255.000,1.000
