EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-13.337,-12.557,-17.148,-18.830,-13.132,-14.777,-17.067,-33.128,-0.051,0.942,-0.379,0.000,-0.275,-0.946,93.333,18025.000,1.000
-19.230,-16.419,-21.766,-25.765,-18.136,-18.901,-23.988,-46.223,-0.050,0.943,-0.376,0.183,-0.305,-0.885,93.333,18026.000,1.000
-22.466,-18.034,-23.451,-30.151,-20.787,-21.271,-28.319,-54.728,-0.050,0.944,-0.375,0.275,-0.336,-0.702,93.333,18027.000,1.000
-20.565,-14.182,-20.813,-28.835,-17.550,-17.010,-25.222,-52.692,-0.055,0.944,-0.376,0.244,-0.519,-0.671,93.333,18028.000,1.000
-21.157,-11.459,-20.974,-28.693,-14.759,-11.883,-20.667,-46.338,-0.056,0.944,-0.372,0.183,-0.610,-0.641,93.333,18029.000,1.000
-26.480,-14.153,-25.716,-32.866,-16.556,-11.358,-20.149,-41.941,-0.053,0.944,-0.375,0.122,-0.641,-0.671,93.333,18030.000,1.000
-31.387,-19.056,-30.182,-36.735,-19.863,-13.391,-21.969,-38.784,-0.051,0.945,-0.376,0.092,-0.671,-0.671,93.333,18031.000,1.000
-34.155,-23.456,-33.220,-38.061,-22.368,-14.614,-23.413,-35.323,-0.048,0.943,-0.375,0.305,-0.763,-0.519,93.333,18032.000,1.000
-37.551,-27.557,-37.120,-39.325,-25.058,-14.746,-24.325,-32.065,-0.044,0.944,-0.376,0.305,-0.671,-0.397,93.333,18033.000,1.000
-41.586,-30.476,-40.940,-40.755,-27.042,-13.738,-23.661,-27.705,-0.044,0.946,-0.378,0.336,-0.519,-0.336,93.333,18034.000,1.000
-43.620,-31.335,-42.297,-39.999,-26.223,-11.486,-20.049,-20.441,-0.045,0.943,-0.378,0.397,-0.397,-0.244,93.333,18035.000,1.000
-46.455,-33.086,-43.679,-39.621,-25.761,-11.935,-17.572,-14.745,-0.045,0.943,-0.375,0.305,-0.397,-0.153,93.333,18036.000,1.000
-52.938,-38.878,-48.519,-44.342,-30.239,-18.709,-21.582,-17.033,-0.047,0.938,-0.377,0.244,-0.305,0.000,93.333,18037.000,1.000
-57.313,-45.423,-52.685,-50.179,-35.825,-26.829,-28.314,-23.941,-0.047,0.935,-0.377,0.427,-0.275,0.061,93.333,18038.000,1.000
-52.704,-45.843,-49.279,-48.661,-34.794,-28.235,-29.212,-25.977,-0.046,0.934,-0.381,0.610,-0.214,0.092,93.333,18039.000,1.000
-42.106,-39.725,-40.089,-40.774,-28.000,-23.739,-24.187,-21.840,-0.047,0.936,-0.383,0.824,-0.153,0.031,93.333,18040.000,1.000
-35.398,-33.553,-33.082,-34.734,-22.539,-20.396,-20.199,-18.328,-0.046,0.938,-0.380,1.129,-0.092,-0.092,93.333,18041.000,1.000
-34.908,-30.304,-30.715,-32.901,-20.328,-20.060,-19.668,-18.674,-0.048,0.938,-0.384,1.221,-0.153,-0.244,93.333,18042.000,1.000
-35.086,-27.481,-29.590,-31.911,-18.739,-19.819,-20.154,-21.086,-0.049,0.942,-0.382,1.221,-0.183,-0.183,93.333,18043.000,1.000
-32.639,-23.487,-27.144,-30.149,-16.526,-18.339,-20.009,-23.599,-0.049,0.941,-0.381,1.160,-0.214,-0.275,93.333,18044.000,1.000
-26.559,-17.654,-21.751,-26.838,-12.325,-14.770,-17.325,-23.501,-0.051,0.941,-0.379,1.099,-0.244,-0.366,93.333,18045.000,1.000
-17.686,-9.317,-13.303,-21.191,-5.308,-8.693,-11.160,-19.720,-0.053,0.942,-0.379,1.068,-0.336,-0.580,93.333,18046.000,1.000
