EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
12.191,26.158,17.683,14.594,22.622,27.297,3.189,11.854,-0.032,0.977,-0.289,-0.519,-0.458,-0.793,86.667,102986.000,1.000
8.667,20.402,11.004,8.520,15.128,19.901,-2.758,3.309,-0.032,0.980,-0.291,-0.641,-0.702,-1.038,86.667,102987.000,1.000
10.221,18.100,9.303,6.574,10.948,16.128,-5.610,-2.133,-0.026,0.981,-0.294,-0.763,-0.793,-1.190,86.667,102988.000,1.000
14.502,17.434,10.691,6.692,8.799,15.222,-6.113,-5.280,-0.024,0.981,-0.293,-0.916,-0.916,-1.343,86.667,102989.000,1.000
18.346,15.782,11.960,6.324,6.400,14.427,-6.439,-7.187,-0.021,0.981,-0.296,-1.068,-0.916,-1.373,86.667,102990.000,1.000
24.771,16.792,15.237,8.645,6.573,16.026,-4.465,-4.758,-0.018,0.979,-0.292,-1.190,-0.854,-1.465,86.667,102991.000,1.000
32.641,21.029,19.738,13.654,9.515,20.693,0.179,1.518,-0.016,0.981,-0.292,-1.343,-0.732,-1.465,86.667,102992.000,1.000
32.500,20.300,17.595,13.602,8.161,22.009,1.337,4.346,-0.017,0.977,-0.292,-1.373,-0.641,-1.404,86.667,102993.000,1.000
20.852,10.631,6.603,5.440,-0.611,16.450,-4.274,0.624,-0.016,0.978,-0.291,-1.465,-0.458,-1.434,86.667,102994.000,1.000
6.188,-0.956,-5.140,-3.620,-10.601,9.209,-11.607,-3.798,-0.018,0.977,-0.286,-1.495,-0.366,-1.465,86.667,102995.000,1.000
-4.431,-8.115,-12.121,-7.835,-16.595,4.814,-16.199,-4.262,-0.020,0.974,-0.288,-1.495,-0.336,-1.404,86.667,102996.000,1.000
-11.257,-10.260,-14.715,-7.359,-17.928,3.959,-16.991,-1.189,-0.022,0.971,-0.291,-1.465,-0.305,-1.373,86.667,102997.000,1.000
-12.285,-5.993,-11.216,-1.342,-12.831,9.208,-11.737,5.866,-0.023,0.971,-0.293,-1.404,-0.275,-1.312,86.667,102998.000,1.000
-5.591,4.683,-0.963,9.561,-1.564,21.044,-1.292,16.400,-0.025,0.972,-0.294,-1.373,-0.275,-1.282,86.667,102999.000,1.000
2.046,15.006,9.195,18.412,9.064,32.815,7.160,24.550,-0.023,0.971,-0.289,-1.160,-0.305,-1.129,86.667,103000.000,1.000
2.589,17.983,12.040,19.249,12.514,37.516,7.943,24.515,-0.025,0.970,-0.289,-1.099,-0.397,-1.068,86.667,103001.000,1.000
-4.234,13.438,7.706,12.486,8.381,33.542,1.153,15.797,-0.023,0.970,-0.286,-1.007,-0.275,-0.977,86.667,103002.000,1.000
-12.578,6.279,0.941,2.319,0.543,24.231,-10.035,2.406,-0.024,0.968,-0.287,-1.007,-0.458,-0.854,86.667,103003.000,1.000
-15.650,2.874,-2.455,-4.766,-4.759,17.068,-19.280,-8.223,-0.024,0.966,-0.288,-0.946,-0.488,-0.763,86.667,103004.000,1.000
-10.366,6.789,0.964,-3.781,-2.938,17.972,-20.206,-10.166,-0.023,0.965,-0.292,-0.702,-0.458,-0.702,86.667,103005.000,1.000
-0.361,14.457,7.624,2.020,3.046,23.750,-14.578,-6.355,-0.024,0.964,-0.291,-0.732,-0.427,-0.610,86.667,103006.000,1.000
6.113,17.379,9.430,3.405,5.132,25.344,-11.167,-5.802,-0.022,0.965,-0.294,-0.488,-0.488,-0.519,86.667,103007.000,1.000
6.553,12.899,4.645,-1.426,1.589,20.771,-12.825,-10.255,-0.021,0.966,-0.294,-0.275,-0.397,-0.488,86.667,103008.000,1.000
8.840,9.858,2.317,-2.296,0.899,19.068,-11.447,-10.151,-0.021,0.965,-0.294,-0.031,-0.305,-0.458,86.667,103009.000,1.000
18.118,15.353,8.487,6.206,7.787,25.600,-2.386,-0.702,-0.021,0.965,-0.293,0.000,-0.305,-0.397,86.667,103010.000,1.000
27.291,23.076,16.372,14.845,14.650,32.861,6.441,8.913,-0.021,0.964,-0.292,0.214,-0.153,-0.336,86.667,103011.000,1.000
27.495,23.195,17.469,14.277,13.380,31.844,6.283,9.331,-0.021,0.966,-0.292,0.275,-0.092,-0.305,86.667,103012.000,1.000
18.676,14.197,10.711,5.565,4.341,22.085,-2.967,1.222,-0.018,0.967,-0.290,0.427,-0.031,-0.336,86.667,103013.000,1.000
7.179,3.159,1.167,-4.144,-5.937,10.710,-14.360,-8.225,-0.018,0.971,-0.289,0.519,0.031,-0.366,86.667,103014.000,1.000
1.957,1.078,-1.463,-5.228,-7.684,8.312,-17.352,-9.002,-0.020,0.973,-0.290,0.549,0.122,-0.336,86.667,103015.000,1.000
7.365,11.519,8.002,6.688,3.087,18.631,-7.583,3.555,-0.019,0.972,-0.293,0.519,0.214,-0.397,86.667,103016.000,1.000
15.147,23.609,20.433,22.041,16.427,31.643,5.082,20.079,-0.017,0.972,-0.291,0.397,0.275,-0.397,86.667,103017.000,1.000
15.513,26.695,24.431,28.979,21.192,36.902,9.256,28.334,-0.018,0.973,-0.292,0.336,0.275,-0.427,86.667,103018.000,1.000
9.266,22.624,20.833,27.582,18.628,35.466,5.979,27.739,-0.016,0.973,-0.292,0.305,0.397,-0.458,86.667,103019.000,1.000
1.789,16.552,15.502,23.240,14.499,31.740,1.229,23.808,-0.017,0.975,-0.291,0.305,0.488,-0.519,86.667,103020.000,1.000
-2.406,11.348,11.914,19.323,11.489,27.879,-2.318,20.160,-0.017,0.975,-0.296,0.366,0.610,-0.580,86.667,103021.000,1.000
-0.498,10.739,12.969,18.416,11.415,26.745,-3.459,18.457,-0.017,0.976,-0.296,0.427,0.702,-0.580,86.667,103022.000,1.000
5.997,15.555,18.277,20.459,14.021,29.236,-2.898,17.716,-0.017,0.979,-0.294,0.458,0.641,-0.671,86.667,103023.000,1.000
10.575,19.286,21.501,20.301,14.200,30.186,-5.287,13.718,-0.015,0.983,-0.293,0.305,0.916,-0.641,86.667,103024.000,1.000
7.997,14.850,16.965,13.164,7.100,23.869,-14.717,3.173,-0.019,0.982,-0.291,0.244,1.007,-0.671,86.667,103025.000,1.000
3.174,6.618,9.441,4.327,-1.939,15.010,-25.298,-8.310,-0.020,0.982,-0.288,0.061,1.007,-0.641,86.667,103026.000,1.000
6.563,6.590,9.901,4.960,-1.488,15.040,-25.201,-9.525,-0.021,0.983,-0.290,-0.183,0.946,-0.671,86.667,103027.000,1.000
19.133,16.200,19.200,15.268,8.656,24.709,-14.463,-0.142,-0.023,0.984,-0.291,-0.336,0.977,-0.763,86.667,103028.000,1.000
29.927,23.882,26.135,22.696,16.258,32.405,-5.701,7.362,-0.024,0.980,-0.289,-0.427,0.854,-0.824,86.667,103029.000,1.000
29.729,20.700,21.777,17.845,12.745,29.670,-7.049,4.482,-0.024,0.975,-0.289,-0.702,0.732,-0.763,86.667,103030.000,1.000
20.283,8.881,8.200,3.636,0.966,19.238,-15.636,-4.942,-0.024,0.971,-0.291,-0.824,0.702,-0.793,86.667,103031.000,1.000
9.886,-2.305,-4.996,-9.850,-10.122,9.982,-24.106,-12.250,-0.022,0.971,-0.292,-0.641,0.732,-0.824,86.667,103032.000,1.000
4.097,-6.213,-10.991,-16.132,-14.920,6.783,-28.315,-14.169,-0.021,0.972,-0.297,-0.458,0.763,-0.854,86.667,103033.000,1.000
1.893,-4.014,-10.322,-15.758,-14.233,7.378,-28.346,-12.590,-0.021,0.974,-0.298,-0.244,0.702,-0.885,86.667,103034.000,1.000
3.022,2.879,-3.605,-8.378,-7.843,11.642,-22.427,-5.633,-0.018,0.977,-0.295,-0.061,0.641,-0.763,86.667,103035.000,1.000
9.848,15.722,9.652,6.979,5.400,22.674,-9.267,8.938,-0.017,0.978,-0.295,0.122,0.671,-0.702,86.667,103036.000,1.000
18.352,29.802,23.769,23.258,19.447,36.134,4.290,23.819,-0.015,0.973,-0.292,-0.153,0.702,-0.519,86.667,103037.000,1.000
20.725,36.321,30.423,31.063,25.928,43.067,9.763,29.950,-0.015,0.970,-0.287,-0.214,0.671,-0.336,86.667,103038.000,1.000
14.773,33.024,27.613,29.015,23.732,41.489,6.887,27.442,-0.020,0.969,-0.286,-0.305,0.732,-0.214,86.667,103039.000,1.000
5.889,26.530,20.936,23.312,18.932,37.669,2.394,23.104,-0.023,0.967,-0.289,-0.153,0.763,-0.275,86.667,103040.000,1.000
