EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
26.670,35.906,27.415,22.338,23.817,23.283,5.471,20.179,-0.035,0.961,-0.333,-0.305,-0.092,-1.312,86.667,92418.000,1.000
24.847,34.162,24.301,19.016,20.845,19.990,1.877,15.899,-0.037,0.960,-0.331,-0.336,-0.183,-1.312,86.667,92419.000,1.000
19.936,27.831,16.864,12.059,13.701,13.415,-4.914,8.369,-0.035,0.962,-0.334,-0.366,-0.183,-1.373,86.667,92420.000,1.000
21.251,27.157,15.068,11.405,11.842,12.840,-5.990,6.567,-0.036,0.961,-0.335,-0.305,-0.336,-1.373,86.667,92421.000,1.000
29.082,34.387,21.338,17.991,17.034,19.463,-0.084,11.735,-0.037,0.961,-0.334,-0.183,-0.336,-1.373,86.667,92422.000,1.000
32.382,38.945,25.372,21.018,19.117,22.480,2.402,13.703,-0.036,0.961,-0.333,-0.214,-0.458,-1.251,86.667,92423.000,1.000
27.590,35.794,22.213,17.016,13.954,17.937,-2.663,8.870,-0.034,0.959,-0.335,-0.214,-0.671,-1.282,86.667,92424.000,1.000
23.470,31.712,18.177,13.555,8.659,13.441,-7.957,4.273,-0.036,0.962,-0.334,-0.031,-0.702,-1.160,86.667,92425.000,1.000
24.052,30.971,17.151,13.217,7.135,12.565,-9.438,2.695,-0.035,0.961,-0.334,-0.092,-0.763,-1.099,86.667,92426.000,1.000
25.330,31.219,17.188,12.368,6.923,12.302,-9.759,1.276,-0.036,0.961,-0.334,-0.031,-0.885,-0.916,86.667,92427.000,1.000
27.261,31.658,18.472,12.158,7.663,12.345,-9.419,0.937,-0.034,0.961,-0.334,0.061,-0.977,-0.824,86.667,92428.000,1.000
31.606,32.553,21.944,15.287,10.218,13.656,-7.116,3.608,-0.034,0.962,-0.331,0.092,-1.038,-0.671,86.667,92429.000,1.000
34.845,31.596,24.504,18.696,12.443,13.981,-4.518,7.013,-0.034,0.960,-0.332,0.061,-1.129,-0.488,86.667,92430.000,1.000
33.900,28.094,24.077,19.392,13.007,12.086,-3.139,9.596,-0.034,0.959,-0.333,0.061,-1.343,-0.336,86.667,92431.000,1.000
31.432,24.298,22.472,19.160,13.064,9.464,-2.574,12.424,-0.032,0.958,-0.337,0.275,-1.282,-0.244,86.667,92432.000,1.000
31.178,21.812,21.354,19.796,13.167,7.021,-2.768,15.361,-0.031,0.958,-0.336,0.336,-1.251,-0.122,86.667,92433.000,1.000
33.083,21.123,21.240,20.609,13.340,5.277,-3.162,17.562,-0.032,0.959,-0.338,0.397,-1.221,-0.031,86.667,92434.000,1.000
34.502,21.830,21.945,20.656,13.672,4.850,-3.073,18.970,-0.031,0.959,-0.338,0.580,-1.160,0.000,86.667,92435.000,1.000
32.939,22.688,22.487,19.732,13.863,5.330,-3.210,19.200,-0.033,0.959,-0.335,0.641,-1.190,0.031,86.667,92436.000,1.000
29.462,24.436,23.254,19.026,14.968,6.999,-3.085,18.648,-0.032,0.957,-0.335,0.702,-1.251,0.000,86.667,92437.000,1.000
28.636,29.848,26.585,20.812,19.102,11.643,-0.365,19.327,-0.033,0.956,-0.338,0.641,-1.221,0.031,86.667,92438.000,1.000
30.902,37.544,31.620,23.828,24.306,17.997,3.912,20.604,-0.031,0.955,-0.337,0.702,-1.221,0.031,86.667,92439.000,1.000
32.560,42.851,34.472,24.567,26.448,22.195,6.232,19.873,-0.030,0.954,-0.337,0.916,-1.160,0.000,86.667,92440.000,1.000
33.962,46.264,36.198,24.834,27.286,24.700,7.643,19.067,-0.029,0.956,-0.337,0.854,-1.038,-0.061,86.667,92441.000,1.000
36.702,49.691,39.252,27.298,29.618,27.489,9.880,20.483,-0.028,0.955,-0.337,1.068,-0.946,-0.183,86.667,92442.000,1.000
37.280,49.668,39.898,28.307,29.845,28.014,9.745,20.494,-0.028,0.954,-0.339,1.190,-1.007,-0.275,86.667,92443.000,1.000
33.342,45.033,35.432,25.338,25.787,24.880,6.081,16.703,-0.029,0.954,-0.338,1.312,-0.885,-0.458,86.667,92444.000,1.000
28.948,40.739,29.837,22.161,21.638,21.677,2.658,12.485,-0.029,0.957,-0.339,1.282,-0.854,-0.488,86.667,92445.000,1.000
27.071,38.843,26.765,21.310,19.822,20.301,0.876,10.016,-0.030,0.958,-0.338,1.404,-0.702,-0.702,86.667,92446.000,1.000
25.761,36.217,24.867,20.635,17.668,18.216,-1.832,7.482,-0.028,0.960,-0.336,1.373,-0.702,-0.732,86.667,92447.000,1.000
24.528,32.294,22.642,18.993,14.007,14.514,-5.970,4.283,-0.027,0.960,-0.340,1.343,-0.671,-0.824,86.667,92448.000,1.000
26.479,30.725,22.286,18.994,12.062,12.499,-8.166,2.949,-0.027,0.961,-0.338,1.282,-0.580,-0.946,86.667,92449.000,1.000
31.566,31.439,24.077,21.243,12.592,12.889,-7.673,4.010,-0.026,0.961,-0.336,1.190,-0.519,-1.038,86.667,92450.000,1.000
33.577,28.729,23.079,20.838,10.498,10.718,-8.817,3.686,-0.029,0.963,-0.340,1.068,-0.488,-1.068,86.667,92451.000,1.000
31.119,22.290,18.418,16.368,4.562,5.249,-11.944,1.247,-0.029,0.964,-0.340,0.946,-0.458,-1.068,86.667,92452.000,1.000
32.008,20.413,17.524,14.841,2.132,3.681,-10.823,2.230,-0.032,0.966,-0.342,0.824,-0.244,-1.190,86.667,92453.000,1.000
37.973,25.484,23.193,19.209,6.214,7.703,-5.000,8.368,-0.031,0.968,-0.339,0.610,-0.336,-1.221,86.667,92454.000,1.000
40.621,29.152,27.545,22.738,9.620,9.618,-2.417,13.457,-0.031,0.968,-0.337,0.427,-0.275,-1.160,86.667,92455.000,1.000
36.053,26.338,25.131,20.758,7.410,5.770,-6.372,13.041,-0.033,0.966,-0.336,0.336,-0.244,-1.007,86.667,92456.000,1.000
