EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-33.301,-30.249,-27.217,-34.388,-25.044,-42.616,-39.774,-42.865,-0.021,0.979,-0.262,-1.312,-3.357,-1.678,86.667,136769.000,1.000
-20.886,-15.996,-13.985,-20.034,-10.444,-29.378,-24.329,-26.313,-0.019,0.980,-0.262,-1.282,-3.448,-1.770,86.667,136770.000,1.000
8.305,13.420,15.619,10.867,20.733,0.573,12.051,9.312,-0.019,0.982,-0.259,-1.099,-3.448,-1.892,86.667,136771.000,1.000
36.801,41.340,44.774,41.647,51.604,30.512,48.385,45.148,-0.015,0.982,-0.258,-1.129,-3.510,-1.801,86.667,136772.000,1.000
52.941,57.067,61.600,60.156,69.701,47.799,66.236,64.966,-0.013,0.986,-0.256,-1.190,-3.510,-1.740,86.667,136773.000,1.000
52.350,55.928,60.529,59.856,69.093,47.878,60.489,61.132,-0.010,0.987,-0.255,-1.465,-3.418,-1.556,86.667,136774.000,1.000
35.925,38.054,41.973,41.367,50.380,31.814,37.715,36.755,-0.009,0.986,-0.254,-1.709,-3.418,-1.251,86.667,136775.000,1.000
16.911,17.290,20.887,20.293,28.311,11.898,14.993,10.555,-0.007,0.985,-0.257,-1.953,-3.082,-1.129,86.667,136776.000,1.000
9.883,9.073,12.713,11.048,17.800,1.369,4.358,-1.626,-0.007,0.983,-0.253,-2.197,-2.808,-1.038,86.667,136777.000,1.000
12.762,12.043,14.762,9.744,16.499,-0.656,1.143,-4.870,-0.006,0.980,-0.255,-2.197,-2.594,-1.190,86.667,136778.000,1.000
15.436,16.398,17.107,8.200,16.021,-1.386,-1.472,-8.596,-0.007,0.979,-0.255,-2.045,-2.319,-1.099,86.667,136779.000,1.000
