yes,3.0,5.0,15.0,06-Oct-2019.23h54m32s717194,1.783,0.005,0.002
no,3.0,5.0,15.0,06-Oct-2019.23h54m57s630095,nan,0.006,-0.013
yes,3.0,5.0,15.0,06-Oct-2019.23h55m28s067632,nan,0.006,-0.007
no,3.0,5.0,15.0,06-Oct-2019.23h55m54s152319,1.048,0.004,0.002
